CoinID,Year,CoinType,Nation
656,2002,20cent,French
657,2002,20cent,French
658,2002,1euro,French
659,2002,1euro,French
660,2002,1euro,French
661,2002,1euro,French
662,2002,1cent,French
663,2002,2cent,French
664,2002,2cent,French
665,2002,2cent,French
666,2002,5cent,French
667,2002,5cent,French
668,2002,5cent,French
669,2002,10cent,French
670,2002,20cent,French
671,2002,20cent,French
672,2002,2euro,French
673,2002,2cent,French
674,2002,2cent,French
675,2002,5cent,French
676,2002,5cent,French
677,2002,5cent,French
678,2002,10cent,French
679,2002,20cent,French
680,2002,20cent,French
681,2002,1euro,French
682,2002,1euro,French
683,2002,1euro,French
684,2002,1euro,French
685,2002,2euro,French
686,2002,2euro,French
687,2002,2euro,French
688,2002,2euro,French
689,2002,2euro,French
690,2002,1cent,French
691,2002,1cent,French
692,2002,1cent,French
693,2002,1cent,French
694,2002,1cent,French
695,2002,1cent,French
696,2002,1cent,French
697,2002,2cent,French
698,2002,2cent,French
699,2002,5cent,French
700,2002,5cent,French
701,2002,5cent,French
702,2002,5cent,French
703,2002,1euro,French
704,2002,1euro,French
705,2002,1euro,French
706,2002,1euro,French
707,2002,1euro,French
708,2002,1euro,French
709,2002,1euro,French
710,2002,1euro,French
711,2002,1euro,French
712,2002,1euro,French
713,2002,2euro,French
714,2002,2euro,French
715,2002,1cent,French
716,2002,1cent,French
717,2002,2cent,French
718,2002,2cent,French
719,2002,5cent,French
720,2002,10cent,French
721,2002,10cent,French
722,2002,20cent,French
723,2002,20cent,French
724,2002,50cent,French
725,2002,50cent,French
726,2002,1euro,French
727,2002,2euro,French
728,2002,1cent,French
729,2002,1cent,French
730,2002,5cent,French
731,2002,10cent,French
732,2002,20cent,French
733,2002,20cent,French
734,2002,20cent,French
735,2002,1cent,French
736,2002,1cent,French
737,2002,1cent,French
738,2002,1cent,French
739,2002,1cent,French
740,2002,2cent,French
741,2002,2cent,French
742,2002,2cent,French
743,2002,2cent,French
744,2002,10cent,French
745,2002,10cent,French
746,2002,10cent,French
747,2002,10cent,French
748,2002,20cent,French
749,2002,20cent,French
750,2002,1euro,French
751,2002,1euro,French
752,2002,2euro,French
753,2002,2euro,French
754,2002,2euro,French
755,2002,2cent,French
756,2002,2cent,French
757,2002,2cent,French
758,2002,2cent,French
759,2002,5cent,French
760,2002,10cent,French
761,2002,10cent,French
762,2002,50cent,French
763,2002,50cent,French
764,2002,1euro,French
765,2002,1euro,French
766,2002,1euro,French
767,2002,1euro,French
768,2002,1euro,French
769,2002,2euro,French
770,2002,2euro,French
771,2002,1cent,French
772,2002,5cent,French
773,2002,50cent,French
774,2002,1euro,French
775,2002,1euro,French
776,2002,1cent,French
777,2002,1cent,French
778,2002,1cent,French
779,2002,1cent,French
780,2002,2cent,French
781,2002,2cent,French
782,2002,5cent,French
783,2002,5cent,French
784,2002,10cent,French
785,2002,10cent,French
786,2002,10cent,French
787,2002,20cent,French
788,2002,20cent,French
789,2002,20cent,French
790,2002,20cent,French
791,2002,20cent,French
792,2002,20cent,French
793,2002,2cent,French
794,2002,2cent,French
795,2002,2cent,French
796,2002,2cent,French
797,2002,50cent,French
798,2002,1cent,French
799,2002,1cent,French
800,2002,5cent,French
801,2002,10cent,French
802,2002,10cent,French
803,2002,10cent,French
804,2002,50cent,French
805,2002,1euro,French
806,2002,1euro,French
807,2002,5cent,French
808,2002,10cent,French
809,2002,20cent,French
810,2002,20cent,French
811,2002,2euro,French
812,2002,2euro,French
813,2002,1cent,French
814,2002,1cent,French
815,2002,2cent,French
816,2002,2cent,French
817,2002,5cent,French
818,2002,5cent,French
819,2002,10cent,French
820,2002,10cent,French
821,2002,10cent,French
822,2002,20cent,French
823,2002,20cent,French
824,2002,20cent,French
825,2002,1euro,French
826,2002,1cent,French
827,2002,1cent,French
828,2002,1cent,French
829,2002,1cent,French
830,2002,1cent,French
831,2002,1cent,French
832,2002,2cent,French
833,2002,2cent,French
834,2002,2cent,French
835,2002,2cent,French
836,2002,2cent,French
837,2002,2cent,French
838,2002,2cent,French
839,2002,2cent,French
840,2002,2cent,French
841,2002,2cent,French
842,2002,2cent,French
843,2002,2cent,French
844,2002,2cent,French
845,2002,5cent,French
846,2002,5cent,French
847,2002,5cent,French
848,2002,5cent,French
849,2002,10cent,French
850,2002,10cent,French
851,2002,10cent,French
852,2002,10cent,French
853,2002,10cent,French
854,2002,10cent,French
855,2002,10cent,French
856,2002,20cent,French
857,2002,20cent,French
858,2002,50cent,French
859,2002,2euro,French
860,2002,2euro,French
861,2002,1cent,French
862,2002,2cent,French
863,2002,2cent,French
864,2002,5cent,French
865,2002,5cent,French
866,2002,5cent,French
867,2002,10cent,French
868,2002,10cent,French
869,2002,10cent,French
870,2002,10cent,French
871,2002,10cent,French
872,2002,20cent,French
873,2002,20cent,French
874,2002,20cent,French
875,2002,20cent,French
876,2002,20cent,French
877,2002,20cent,French
